Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
GDP per capita (current US$),NY.GDP.PCAP.CD,Georgia,GEO,4696.15058555612
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,46793.6867615995
GDP per capita (current US$),NY.GDP.PCAP.CD,Ghana,GHA,2167.92544002254
GDP per capita (current US$),NY.GDP.PCAP.CD,Gibraltar,GIB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Greece,GRC,19144.2843875557
GDP per capita (current US$),NY.GDP.PCAP.CD,Greenland,GRL,53309.5792663647
GDP per capita (current US$),NY.GDP.PCAP.CD,Grenada,GRD,9887.92074235834
GDP per capita (current US$),NY.GDP.PCAP.CD,Guam,GUM,37752.633077142
GDP per capita (current US$),NY.GDP.PCAP.CD,Guatemala,GTM,4647.80734000427
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea,GIN,1043.89988619523
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea-Bissau,GNB,730.611432269736
GDP per capita (current US$),NY.GDP.PCAP.CD,Guyana,GUY,6477.29672607993
GDP per capita (current US$),NY.GDP.PCAP.CD,Haiti,HTI,1345.47505482083
GDP per capita (current US$),NY.GDP.PCAP.CD,Honduras,HND,2519.36619342175
GDP per capita (current US$),NY.GDP.PCAP.CD,"Hong Kong SAR, China",HKG,48359.0032522111
GDP per capita (current US$),NY.GDP.PCAP.CD,Hungary,HUN,16786.2136399075
GDP per capita (current US$),NY.GDP.PCAP.CD,Iceland,ISL,68403.1448095284
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,2050.16378973235
GDP per capita (current US$),NY.GDP.PCAP.CD,Indonesia,IDN,4151.22755454135
GDP per capita (current US$),NY.GDP.PCAP.CD,"Iran, Islamic Rep.",IRN,3276.75326508099
GDP per capita (current US$),NY.GDP.PCAP.CD,Iraq,IRQ,5621.18169491752
GDP per capita (current US$),NY.GDP.PCAP.CD,Ireland,IRL,80927.0746710651
GDP per capita (current US$),NY.GDP.PCAP.CD,Isle of Man,IMN,87152.4530174045
GDP per capita (current US$),NY.GDP.PCAP.CD,Israel,ISR,44452.2325623093
GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,ITA,33673.7509627414
GDP per capita (current US$),NY.GDP.PCAP.CD,Jamaica,JAM,5626.17040261069
GDP per capita (current US$),NY.GDP.PCAP.CD,Japan,JPN,40415.9567649547
GDP per capita (current US$),NY.GDP.PCAP.CD,Jordan,JOR,4159.67140765344
GDP per capita (current US$),NY.GDP.PCAP.CD,Kazakhstan,KAZ,9812.59553636276
GDP per capita (current US$),NY.GDP.PCAP.CD,Kenya,KEN,1970.0800629654
GDP per capita (current US$),NY.GDP.PCAP.CD,Kiribati,KIR,1410.01508996396
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Dem. People's Rep.",PRK,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Rep.",KOR,31902.4169048194
GDP per capita (current US$),NY.GDP.PCAP.CD,Kosovo,XKX,4416.03132183173
GDP per capita (current US$),NY.GDP.PCAP.CD,Kuwait,KWT,30666.2206640015
GDP per capita (current US$),NY.GDP.PCAP.CD,Kyrgyz Republic,KGZ,1374.03113638998
GDP per capita (current US$),NY.GDP.PCAP.CD,Lao PDR,LAO,2598.50552320723
GDP per capita (current US$),NY.GDP.PCAP.CD,Latvia,LVA,17945.2222164981
GDP per capita (current US$),NY.GDP.PCAP.CD,Lebanon,LBN,8925.42186018651
GDP per capita (current US$),NY.GDP.PCAP.CD,Lesotho,LSO,1094.49943775496
GDP per capita (current US$),NY.GDP.PCAP.CD,Liberia,LBR,665.878447568436
GDP per capita (current US$),NY.GDP.PCAP.CD,Libya,LBY,10542.4290203358
GDP per capita (current US$),NY.GDP.PCAP.CD,Liechtenstein,LIE,167259.160311816
GDP per capita (current US$),NY.GDP.PCAP.CD,Lithuania,LTU,19598.4008704357
GDP per capita (current US$),NY.GDP.PCAP.CD,Luxembourg,LUX,112621.821337402
GDP per capita (current US$),NY.GDP.PCAP.CD,"Macao SAR, China",MAC,83183.4723863046
GDP per capita (current US$),NY.GDP.PCAP.CD,Madagascar,MDG,512.279665582666
GDP per capita (current US$),NY.GDP.PCAP.CD,Malawi,MWI,584.362867276266
GDP per capita (current US$),NY.GDP.PCAP.CD,Malaysia,MYS,11132.1034532052
GDP per capita (current US$),NY.GDP.PCAP.CD,Maldives,MDV,11118.5262346524
GDP per capita (current US$),NY.GDP.PCAP.CD,Mali,MLI,840.175746132551
GDP per capita (current US$),NY.GDP.PCAP.CD,Malta,MLT,31506.5568445964
GDP per capita (current US$),NY.GDP.PCAP.CD,Marshall Islands,MHL,5188.97111429082
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritania,MRT,1839.96277798478
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritius,MUS,11403.2528942201
GDP per capita (current US$),NY.GDP.PCAP.CD,Mexico,MEX,10145.1526279593
GDP per capita (current US$),NY.GDP.PCAP.CD,"Micronesia, Fed. Sts.",FSM,3699.08151446862
GDP per capita (current US$),NY.GDP.PCAP.CD,Moldova,MDA,4404.95042249597
GDP per capita (current US$),NY.GDP.PCAP.CD,Monaco,MCO,199382.781206882
GDP per capita (current US$),NY.GDP.PCAP.CD,Mongolia,MNG,4394.94715010112
GDP per capita (current US$),NY.GDP.PCAP.CD,Montenegro,MNE,8909.65333601178
GDP per capita (current US$),NY.GDP.PCAP.CD,Morocco,MAR,3498.58251953125
GDP per capita (current US$),NY.GDP.PCAP.CD,Mozambique,MOZ,508.163403756662
GDP per capita (current US$),NY.GDP.PCAP.CD,Myanmar,MMR,1295.20148745222
GDP per capita (current US$),NY.GDP.PCAP.CD,Namibia,NAM,5126.17614281673
GDP per capita (current US$),NY.GDP.PCAP.CD,Nauru,NRU,10316.5250416633
GDP per capita (current US$),NY.GDP.PCAP.CD,Nepal,NPL,1185.68231813605
GDP per capita (current US$),NY.GDP.PCAP.CD,Netherlands,NLD,52476.2732533318
GDP per capita (current US$),NY.GDP.PCAP.CD,New Caledonia,NCL,34934.5794941128
GDP per capita (current US$),NY.GDP.PCAP.CD,New Zealand,NZL,42796.4305818389
GDP per capita (current US$),NY.GDP.PCAP.CD,Nicaragua,NIC,1905.63831305189
GDP per capita (current US$),NY.GDP.PCAP.CD,Niger,NER,550.963543141805
GDP per capita (current US$),NY.GDP.PCAP.CD,Nigeria,NGA,2334.02354308408
GDP per capita (current US$),NY.GDP.PCAP.CD,North Macedonia,MKD,6070.38805358275
GDP per capita (current US$),NY.GDP.PCAP.CD,Northern Mariana Islands,MNP,23687.2718520599
GDP per capita (current US$),NY.GDP.PCAP.CD,Norway,NOR,76430.5889473338
GDP per capita (current US$),NY.GDP.PCAP.CD,Oman,OMN,19132.1522739094
GDP per capita (current US$),NY.GDP.PCAP.CD,Pakistan,PAK,1437.1658337701
GDP per capita (current US$),NY.GDP.PCAP.CD,Palau,PLW,15567.0908684974
GDP per capita (current US$),NY.GDP.PCAP.CD,Panama,PAN,16472.8317548406
GDP per capita (current US$),NY.GDP.PCAP.CD,Papua New Guinea,PNG,2593.77579783693
GDP per capita (current US$),NY.GDP.PCAP.CD,Paraguay,PRY,5807.83881414187
GDP per capita (current US$),NY.GDP.PCAP.CD,Peru,PER,6955.88176963678
GDP per capita (current US$),NY.GDP.PCAP.CD,Philippines,PHL,3413.8490672059
GDP per capita (current US$),NY.GDP.PCAP.CD,Poland,POL,15700.0135796738
GDP per capita (current US$),NY.GDP.PCAP.CD,Portugal,PRT,23330.8172889316
GDP per capita (current US$),NY.GDP.PCAP.CD,Puerto Rico,PRI,32916.866800639
GDP per capita (current US$),NY.GDP.PCAP.CD,Qatar,QAT,62827.3969543275
GDP per capita (current US$),NY.GDP.PCAP.CD,Romania,ROU,12957.9991142218
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,11536.2587890625
GDP per capita (current US$),NY.GDP.PCAP.CD,Rwanda,RWA,806.128014394646
GDP per capita (current US$),NY.GDP.PCAP.CD,Samoa,WSM,4308.30145287685
GDP per capita (current US$),NY.GDP.PCAP.CD,San Marino,SMR,47287.3983949924
GDP per capita (current US$),NY.GDP.PCAP.CD,Sao Tome and Principe,STP,1991.73826385183
GDP per capita (current US$),NY.GDP.PCAP.CD,Saudi Arabia,SAU,23405.7061087736
GDP per capita (current US$),NY.GDP.PCAP.CD,Senegal,SEN,1462.6783520711
GDP per capita (current US$),NY.GDP.PCAP.CD,Serbia,SRB,7417.20658487785
GDP per capita (current US$),NY.GDP.PCAP.CD,Seychelles,SYC,16851.1197648771
GDP per capita (current US$),NY.GDP.PCAP.CD,Sierra Leone,SLE,506.606908156498
GDP per capita (current US$),NY.GDP.PCAP.CD,Singapore,SGP,66070.4706679227
GDP per capita (current US$),NY.GDP.PCAP.CD,Sint Maarten (Dutch part),SXM,35084.0351930602
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovak Republic,SVK,19381.592110485
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovenia,SVN,26016.0786839136
GDP per capita (current US$),NY.GDP.PCAP.CD,Solomon Islands,SLB,2398.77296268603
GDP per capita (current US$),NY.GDP.PCAP.CD,Somalia,SOM,405.786763279583
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,6688.77474649645
GDP per capita (current US$),NY.GDP.PCAP.CD,South Sudan,SSD,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Spain,ESP,29581.5185513293
GDP per capita (current US$),NY.GDP.PCAP.CD,Sri Lanka,LKA,4082.69404756548
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Kitts and Nevis,KNA,23219.4090468738
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Lucia,LCA,11726.6771483578
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Martin (French part),MAF,..
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Vincent and the Grenadines,VCT,8680.24198247066
GDP per capita (current US$),NY.GDP.PCAP.CD,Sudan,SDN,748.010925292969
GDP per capita (current US$),NY.GDP.PCAP.CD,Suriname,SUR,6690.04478601228
GDP per capita (current US$),NY.GDP.PCAP.CD,Sweden,SWE,51939.4297445291
GDP per capita (current US$),NY.GDP.PCAP.CD,Switzerland,CHE,84121.9310304414
GDP per capita (current US$),NY.GDP.PCAP.CD,Syrian Arab Republic,SYR,1124.520554158
GDP per capita (current US$),NY.GDP.PCAP.CD,Tajikistan,TJK,889.023371807526
GDP per capita (current US$),NY.GDP.PCAP.CD,Tanzania,TZA,1050.93237304688
GDP per capita (current US$),NY.GDP.PCAP.CD,Thailand,THA,7628.57608699366
GDP per capita (current US$),NY.GDP.PCAP.CD,Timor-Leste,TLS,1584.26382222333
GDP per capita (current US$),NY.GDP.PCAP.CD,Togo,TGO,848.304826917637
GDP per capita (current US$),NY.GDP.PCAP.CD,Tonga,TON,4878.97818832247
GDP per capita (current US$),NY.GDP.PCAP.CD,Trinidad and Tobago,TTO,15690.9630952205
GDP per capita (current US$),NY.GDP.PCAP.CD,Tunisia,TUN,3477.84427052074
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkiye,TUR,9103.01239697463
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkmenistan,TKM,7180.4595520094
GDP per capita (current US$),NY.GDP.PCAP.CD,Turks and Caicos Islands,TCA,27795.1485608171
GDP per capita (current US$),NY.GDP.PCAP.CD,Tuvalu,TUV,4940.0506820692
GDP per capita (current US$),NY.GDP.PCAP.CD,Uganda,UGA,823.024732829946
GDP per capita (current US$),NY.GDP.PCAP.CD,Ukraine,UKR,3661.45776367188
GDP per capita (current US$),NY.GDP.PCAP.CD,United Arab Emirates,ARE,45376.1708390447
GDP per capita (current US$),NY.GDP.PCAP.CD,United Kingdom,GBR,42747.080460496
GDP per capita (current US$),NY.GDP.PCAP.CD,United States,USA,65120.3946628653
GDP per capita (current US$),NY.GDP.PCAP.CD,Uruguay,URY,18098.361548609
GDP per capita (current US$),NY.GDP.PCAP.CD,Uzbekistan,UZB,1795.20176845657
GDP per capita (current US$),NY.GDP.PCAP.CD,Vanuatu,VUT,3076.58988588361
GDP per capita (current US$),NY.GDP.PCAP.CD,"Venezuela, RB",VEN,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Viet Nam,VNM,3491.09127859728
GDP per capita (current US$),NY.GDP.PCAP.CD,Virgin Islands (U.S.),VIR,38596.0307118282
GDP per capita (current US$),NY.GDP.PCAP.CD,West Bank and Gaza,PSE,3656.85827137011
GDP per capita (current US$),NY.GDP.PCAP.CD,"Yemen, Rep.",YEM,693.816483547342
GDP per capita (current US$),NY.GDP.PCAP.CD,Zambia,ZMB,1268.12094056241
GDP per capita (current US$),NY.GDP.PCAP.CD,Zimbabwe,ZWE,1421.86859641758
GDP per capita (current US$),NY.GDP.PCAP.CD,Africa Eastern and Southern,AFE,1499.9544365215
GDP per capita (current US$),NY.GDP.PCAP.CD,Africa Western and Central,AFW,1810.53800638238
GDP per capita (current US$),NY.GDP.PCAP.CD,Arab World,ARB,6498.52903712431
GDP per capita (current US$),NY.GDP.PCAP.CD,Caribbean small states,CSS,10409.7163826574
GDP per capita (current US$),NY.GDP.PCAP.CD,Central Europe and the Baltics,CEB,16349.0053581845
GDP per capita (current US$),NY.GDP.PCAP.CD,Early-demographic dividend,EAR,3506.63417506725
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific,EAS,11480.7038150104
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific (excluding high income),EAP,8169.0089232591
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific (IDA & IBRD countries),TEA,8259.76325551476
GDP per capita (current US$),NY.GDP.PCAP.CD,Euro area,EMU,39183.1023427645
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia,ECS,24870.5764692993
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia (excluding high income),ECA,8128.39505469146
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia (IDA & IBRD countries),TEC,9016.26377063046
GDP per capita (current US$),NY.GDP.PCAP.CD,European Union,EUU,35077.7285770448
GDP per capita (current US$),NY.GDP.PCAP.CD,Fragile and conflict affected situations,FCS,1906.88721564883
GDP per capita (current US$),NY.GDP.PCAP.CD,Heavily indebted poor countries (HIPC),HPC,980.443936644367
GDP per capita (current US$),NY.GDP.PCAP.CD,High income,HIC,44727.7346006187
GDP per capita (current US$),NY.GDP.PCAP.CD,IBRD only,IBD,6450.76019852946
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA & IBRD total,IBT,5131.96671603115
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA blend,IDB,1874.5846274451
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA only,IDX,1206.13799722073
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA total,IDA,1427.76901211753
GDP per capita (current US$),NY.GDP.PCAP.CD,Late-demographic dividend,LTE,9979.37423743445
GDP per capita (current US$),NY.GDP.PCAP.CD,Latin America & Caribbean,LCN,8713.5436460742
GDP per capita (current US$),NY.GDP.PCAP.CD,Latin America & Caribbean (excluding high income),LAC,8184.42457418509
GDP per capita (current US$),NY.GDP.PCAP.CD,Latin America & the Caribbean (IDA & IBRD countries),TLA,8532.48435762488
GDP per capita (current US$),NY.GDP.PCAP.CD,Least developed countries: UN classification,LDC,1089.87177789316
GDP per capita (current US$),NY.GDP.PCAP.CD,Low & middle income,LMY,4957.61075209281
GDP per capita (current US$),NY.GDP.PCAP.CD,Low income,LIC,681.746857893197
GDP per capita (current US$),NY.GDP.PCAP.CD,Lower middle income,LMC,2235.39181598856
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle East & North Africa,MEA,7444.6212852487
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle East & North Africa (excluding high income),MNA,3475.85916647375
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle East & North Africa (IDA & IBRD countries),TMN,3473.74211447634
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle income,MIC,5433.45843415971
GDP per capita (current US$),NY.GDP.PCAP.CD,North America,NAC,63203.3738891388
GDP per capita (current US$),NY.GDP.PCAP.CD,Not classified,INX,..
GDP per capita (current US$),NY.GDP.PCAP.CD,OECD members,OED,39531.3435697755
GDP per capita (current US$),NY.GDP.PCAP.CD,Other small states,OSS,13563.8976571233
GDP per capita (current US$),NY.GDP.PCAP.CD,Pacific island small states,PSS,4234.83396306924
GDP per capita (current US$),NY.GDP.PCAP.CD,Post-demographic dividend,PST,45701.5843923387
GDP per capita (current US$),NY.GDP.PCAP.CD,Pre-demographic dividend,PRE,1484.2360142926
GDP per capita (current US$),NY.GDP.PCAP.CD,Small states,SST,12442.1201273464
GDP per capita (current US$),NY.GDP.PCAP.CD,South Asia,SAS,1964.98051916795
GDP per capita (current US$),NY.GDP.PCAP.CD,South Asia (IDA & IBRD),TSA,1964.98051916795
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa,SSF,1625.76257570346
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa (excluding high income),SSA,1624.43717233441
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa (IDA & IBRD countries),TSS,1625.76257570346
GDP per capita (current US$),NY.GDP.PCAP.CD,Upper middle income,UMC,9006.03715615141
GDP per capita (current US$),NY.GDP.PCAP.CD,World,WLD,11330.4536704935
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 10/26/2023,,,,
